ID | X(m) | Y(m) | Lon | Lat 
0240, -49.87820251299121, 3.487823687206265, -135.64483356232302, 60.853863913553866 
TP06, -29.926921507794727, 2.0926942123237593, -135.6444661372131, 60.85385314888553 
TP05, -14.963460753897364, 1.0463471061618796, -135.6441905685388, 60.853845074725214 
0526, -4.987820251299121, 0.3487823687206265, -135.64400685616454, 60.85383969163783 
TP09, 2.790258949765006, 39.90256201039297, -135.64387085731443, 60.854195472550664 
TP02, 2.0926942123237544, 29.92692150779473, -135.6438818930762, 60.854105854416 
TP04, 1.0463471061618772, 14.963460753897365, -135.64389844660585, 60.85397142721024 
TP01, 0.34878236872062574, 4.987820251299121, -135.64390948221703, 60.85388180907058 
0424, 0.0, 0.0, -135.643915, 60.85383699999998 
TP08, -1.0463471061618796, -14.963460753897364, -135.64393155325857, 60.853702572785174 
TP07, -2.0926942123237593, -29.926921507794727, -135.6439481063816, 60.853568145565866 
TP03, -3.487823687206265, -49.87820251299121, -135.64397017700148, 60.85338890926643 
0253, 4.987820251299121, -0.3487823687206265, -135.6438231438505, 60.85383430829936 
TP10, 14.963460753897364, -1.0463471061618796, -135.64363943159677, 60.85382892470984 
0252, 29.926921507794727, -2.0926942123237593, -135.64336386332909, 60.85382084885482 
sym, 49.87820251299121, -3.487823687206265, -135.64299643918304, 60.853810080169346 
