,freqs,vels
0,2.0785666995126078,940.2437389477667
1,2.1429109815825926,1043.712524261578
2,2.209247110551728,963.6711618648629
3,2.277636746196797,871.912498515737
4,2.348143457039713,824.9942366764773
5,2.420832779434796,749.0988241500403
6,2.495772278485148,711.2196434409733
7,2.573031610844775,711.2196434409733
8,2.652682589464805,657.8518605665923
9,2.734799250343999,596.3103527226261
10,2.819457921345599,417.24234575781634
11,2.906737293144471,407.4309498777009
12,2.9967184923705,349.64796822473966
13,3.089485157016211,386.91228086601836
14,3.18512351417872,332.62863238568144
15,3.283722460208267,340.80940761604717
16,3.3853736433378394,315.9896943063565
17,3.4901715488706766,308.2632116820881
18,3.5982135870048544,315.9896943063565
19,3.7096001833765673,324.0876979607201
20,3.8244348724062815,332.62863238568144
21,3.942824393534519,324.0876979607201
22,4.064878790436717,332.62863238568144
23,4.1907115133094015,324.0876979607201
24,4.320439524322733,332.62863238568144
25,4.4541834063374495,340.80940761604717
26,4.59206747498727,332.62863238568144
27,4.73421989423091,349.64796822473966
28,4.88077279548116,358.86362346722154
29,5.031862400421714,367.7158442836976
30,5.187629147625933,315.9896943063565
31,5.348217823095231,386.91228086601836
32,5.513777694838416,377.0606358949217
33,5.684462651617078,386.91228086601836
34,5.8604313459859965,377.0606358949217
35,6.041847341761513,349.64796822473966
36,6.228879266054945,257.7451904743929
37,6.421700966012375,251.56158132030345
38,6.620491670406459,251.56158132030345
39,6.825436156230516,239.00358789198205
40,7.036724920449704,264.6027674410579
41,7.254554357068926,251.56158132030345
42,7.479126939682099,239.00358789198205
43,7.710651409672393,239.00358789198205
44,7.949342970238445,233.16701494977087
45,8.195423486426842,233.16701494977087
46,8.449121691356845,239.00358789198205
47,8.710673398829007,233.16701494977087
48,8.980321722515322,227.33352005113625
49,9.258317301934657,221.50573340891802
50,9.544918535423482,215.9906829744354
51,9.840391820318468,215.9906829744354
52,10.145011800574196,215.9906829744354
53,10.459061622046148,215.9906829744354
54,10.782833195676236,210.63195967351322
55,11.116627468825556,210.63195967351322
56,11.460754705006519,210.63195967351322
57,11.815534772274397,205.38181379508438
58,12.18129744054634,205.38181379508438
59,12.558382688124247,205.38181379508438
60,12.94714101770634,200.25024407504307
61,13.347933782181263,205.38181379508438
62,13.76113352050746,205.38181379508438
63,14.18712430399008,205.38181379508438
64,14.626302093277252,200.25024407504307
65,15.079075106407563,200.25024407504307
66,15.545864198250849,200.25024407504307
67,16.027103251694978,200.25024407504307
68,16.52323958094227,205.38181379508438
69,17.034734347290346,190.3116704184103
70,17.56206298778398,200.25024407504307
71,18.105715657136273,185.4550104320703
72,18.666197683330044,190.3116704184103
73,19.244030037322787,185.4550104320703
74,19.839749817291892,190.3116704184103
75,20.45391074787021,185.4550104320703
76,21.08708369483596,185.4550104320703
77,21.739857195735436,171.87993703748458
78,22.41283800693173,176.28911575737496
79,23.106651667587926,176.28911575737496
80,23.821943081108984,167.56900466527213
81,24.559377114582837,171.87993703748458
82,25.319639216777777,167.56900466527213
83,26.10343605527068,167.56900466527213
84,26.911496173298165,159.443125311321
85,27.744570666941335,163.39729627422275
86,28.603433883273496,159.443125311321
87,29.48888414011976,163.39729627422275
