,freqs,vels,stds
0,1.0628704438831642,1688.217866827113,155.21454876111744
1,1.0957727489480462,1202.2086722625686,389.12082618020736
2,1.1296935804803945,1239.2776434886925,395.5942831545181
3,1.1646644680694849,910.0804133967698,398.80864359325574
4,1.2007179173371578,803.7588191704306,404.75347426743974
5,1.2378874401519626,732.2638469960274,381.1024835850308
6,1.2762075857786135,489.491738766086,349.76059676461773
7,1.3157139729917104,709.7181688269711,333.49907326594484
8,1.356443323183576,460.32893989540986,325.5657274293055
9,1.3984334944969807,382.17893937328404,313.22428163751147
10,1.441723517014482,474.51769339118397,301.5815703619516
11,1.4863536290370902,394.30093288970164,288.42806213521754
12,1.532365314485979,419.6054821795295,274.1224492866001
13,1.5798013414620042,406.53246489472906,251.73063995854594
14,1.6287058019988767,419.6054821795295,243.6204706628724
15,1.6791241530469383,406.53246489472906,228.2003702419776
16,1.7311032587256312,382.17893937328404,218.52762720769877
17,1.7846914338839417,382.17893937328404,200.7272638356673
18,1.839938489009304,382.17893937328404,185.78835600256136
19,1.8968957765267056,316.8185243731134,173.04554044163592
20,1.9556162385310367,316.8185243731134,155.72903378043043
21,2.016154455997039,337.55491252465026,144.11135990391486
22,2.0785666995126078,337.55491252465026,130.08633176220366
23,2.1429109815825926,326.83908041642025,110.4774582049744
24,2.209247110551728,297.8160586424103,95.08152480860997
25,2.277636746196797,348.13454251226557,82.07235667916686
26,2.348143457039713,271.8227548252692,68.1803356841779
27,2.420832779434796,326.83908041642025,68.1803356841779
28,2.495772278485148,382.17893937328404,69.33466526276905
29,2.573031610844775,348.13454251226557,65.6083277415051
30,2.652682589464805,359.0623582531968,65.6083277415051
31,2.734799250343999,289.01199856411284,65.6083277415051
32,2.819457921345599,271.8227548252692,66.71292889208861
33,2.906737293144471,280.42026495156404,66.71292889208861
34,2.9967184923705,326.83908041642025,66.71292889208861
35,3.089485157016211,289.01199856411284,66.71292889208861
36,3.18512351417872,280.42026495156404,67.75974240029764
37,3.283722460208267,271.8227548252692,64.32561799674743
38,3.3853736433378394,271.8227548252692,64.32561799674743
39,3.4901715488706766,271.8227548252692,64.32561799674743
40,3.5982135870048544,280.42026495156404,64.32561799674743
41,3.7096001833765673,280.42026495156404,64.32561799674743
42,3.8244348724062815,280.42026495156404,64.32561799674743
43,3.942824393534519,271.8227548252692,61.757694422253955
44,4.064878790436717,271.8227548252692,61.757694422253955
45,4.1907115133094015,263.48955677463385,61.757694422253955
46,4.320439524322733,263.48955677463385,61.757694422253955
47,4.4541834063374495,263.48955677463385,61.757694422253955
48,4.59206747498727,263.48955677463385,62.93561027980531
49,4.73421989423091,263.48955677463385,59.23090002353151
50,4.88077279548116,263.48955677463385,59.23090002353151
51,5.031862400421714,255.35361102573646,59.23090002353151
52,5.187629147625933,247.77572834161023,59.23090002353151
53,5.348217823095231,255.35361102573646,56.98419591815296
54,5.513777694838416,247.77572834161023,56.98419591815296
55,5.684462651617078,247.77572834161023,56.98419591815296
56,5.8604313459859965,247.77572834161023,56.98419591815296
57,6.041847341761513,240.10997444909881,55.01573424209188
58,6.228879266054945,240.10997444909881,55.01573424209188
59,6.421700966012375,233.0091332394123,55.01573424209188
60,6.620491670406459,233.0091332394123,53.39922854379755
61,6.825436156230516,240.10997444909881,53.39922854379755
62,7.036724920449704,233.0091332394123,53.39922854379755
63,7.254554357068926,225.83601651841667,52.00689022798381
64,7.479126939682099,225.83601651841667,52.00689022798381
65,7.710651409672393,225.83601651841667,49.659775022555344
66,7.949342970238445,218.87772918085912,50.56078691668286
67,8.195423486426842,218.87772918085912,50.56078691668286
68,8.449121691356845,212.17193195594777,48.963282894500715
69,8.710673398829007,212.17193195594777,48.963282894500715
70,8.980321722515322,212.17193195594777,47.36604349867294
71,9.258317301934657,218.87772918085912,47.36604349867294
72,9.544918535423482,225.83601651841667,45.74002444527666
73,9.840391820318468,225.83601651841667,43.258953146999005
74,10.145011800574196,233.0091332394123,43.258953146999005
75,10.459061622046148,240.10997444909881,43.84876340691056
76,10.782833195676236,240.10997444909881,43.84876340691056
77,11.116627468825556,205.71682361388784,42.036710648090896
78,11.460754705006519,212.17193195594777,42.036710648090896
79,11.815534772274397,199.43424848528386,42.581209504565706
80,12.18129744054634,199.43424848528386,40.70494824651613
81,12.558382688124247,218.87772918085912,40.70494824651613
82,12.94714101770634,193.31404054798824,41.209032276732245
83,13.347933782181263,176.23059325228778,38.95298829185352
84,13.76113352050746,181.76696808648757,39.4557559445206
85,14.18712430399008,187.4095687331929,40.080952848310424
86,14.626302093277252,193.31404054798824,38.649766385795424
87,15.079075106407563,193.31404054798824,39.22885494185558
88,15.545864198250849,181.76696808648757,37.46456468136321
89,16.027103251694978,181.76696808648757,38.07077399365138
90,16.52323958094227,155.75555365940335,36.44977402169274
91,17.034734347290346,160.81086835381245,35.82024913667764
92,17.56206298778398,171.0290166458844,33.597472458208316
93,18.105715657136273,171.0290166458844,32.85981864538003
94,18.666197683330044,171.0290166458844,30.382501752550187
