ID,X(m),Y(m),Lon,Lat
sym, 20.299729898706378, 34.4662293562781, -135.09178656315405, 60.74337570133882 
TP10, 7.612398712014892, 12.924836008604288, -135.09201871202123, 60.74318213812407 
0240, 2.5374662373382972, 4.308278669534762, -135.09211157078553, 60.74310471272429 
0526, 0.0, 0.0, -135.092158, 60.743065999999985 
0252, 3.4773072359702346, -3.5928170544391835, -135.0920941297857, 60.743033786618966 
0253, 10.431921707910703, -10.77845116331755, -135.09196638974106, 60.74296935976518 
TP02, 20.863843415821407, -21.5569023266351, -135.0917747806341, 60.74287271925508 
TP03, 27.818457887761877, -28.74253643551347, -135.09164704186946, 60.74280829209538 
0424, -3.6069463153268213, 3.4626490261576137, -135.0922242447216, 60.743097043036045 
TP05, -10.820838945980464, 10.387947078472841, -135.09235673454864, 60.74315912900954 
TP08, -21.641677891960928, 20.775894156945682, -135.09255547024867, 60.74325225772313 
TP04, -28.85557052261457, 27.70119220926091, -135.09268796135504, 60.74331434336777 
TP07, -37.2363175874634, -33.368497906342206, -135.09284009161877, 60.74276593871435 
TP09, -22.341790552478038, -20.021098743805325, -135.09256725649925, 60.742885963646046 
TP01, -11.170895276239019, -10.010549371902663, -135.09236262882266, 60.74297598197955 
TP06, -3.7236317587463397, -3.336849790634221, -135.0922262097349, 60.74303599402797 
